id,Épica,Tipo,Historia de usuario,Criterios de aceptación,Valor (1–5),Riesgo (1–5),Puntos,Prioridad,¿Trata datos personales?,¿Requisitos de seguridad?,Sprint previsto,Dato personal tratado,Responsable inicial,Issue GitHub,Stack técnico
SP-01,Integración institucional,Spike,"Investigar el mecanismo de autenticación con correo institucional e intranet/SSO y la asociación segura con un único registro universitario, con timebox de 4 horas.",Ver docs/sprints/criterios/SP-01.md,5,5,2,1,Sí,Sí,1,correo institucional; identificador universitario,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/1,Flutter + Dart → API REST Node.js → MySQL
TD-01,Arquitectura e integración,Deuda técnica,"Configurar arquitectura, cliente HTTP, configuración de entorno y manejo uniforme de estados para integrar y probar los servicios de autenticación e identidad.",Ver docs/sprints/criterios/TD-01.md,4,4,2,15,No,No,1,,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/2,Flutter + Dart → API REST Node.js → MySQL
US-01,Autenticación e identidad,Historia,Como miembro de la comunidad UPT quiero iniciar sesión con mi correo institucional y validar mi identidad mediante la intranet/SSO para acceder únicamente a mi identidad digital universitaria.,Ver docs/sprints/criterios/US-01.feature,5,5,3,2,Sí,Sí,1,correo institucional; identificador universitario; token de sesión,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/3,Flutter + Dart → API REST Node.js → MySQL
US-04,Autenticación e identidad,Historia,"Como estudiante, docente o trabajador autenticado quiero visualizar mi identidad digital universitaria con los datos mínimos necesarios para acreditar quién soy.",Ver docs/sprints/criterios/US-04.feature,5,4,5,6,Sí,Sí,1,nombre; fotografía; código; rol; escuela/unidad; estado,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/4,Flutter + Dart → API REST Node.js → MySQL
SP-02,Credencial digital,Spike,"Diseñar la estrategia del QR dinámico para vincular OTP/nonce, ubicación, identidad, vigencia y uso único sin exponer esos datos a lectores QR comunes.",Ver docs/sprints/criterios/SP-02.md,4,5,2,13,Sí,Sí,2,ubicación vinculada al token,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/5,Flutter + Dart → API REST Node.js → MySQL
US-05,Credencial digital,Historia,"Como usuario autorizado quiero generar una credencial QR dinámica que vincule OTP/nonce de un solo uso, ubicación e identidad mediante un token opaco de corta vigencia para acreditar mi autorización sin exponer datos legibles.",Ver docs/sprints/criterios/US-05.feature,5,5,5,3,Sí,Sí,2,identidad; ubicación; OTP/nonce; estado de acceso; token,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/6,Flutter + Dart → API REST Node.js → MySQL
US-06,Credencial digital,Historia,Como usuario quiero que la app obtenga mi ubicación al generar la credencial para comprobar que el QR se emite desde una zona permitida.,Ver docs/sprints/criterios/US-06.feature,5,4,3,7,Sí,Sí,2,latitud; longitud; precisión; fecha/hora,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/7,Flutter + Dart → API REST Node.js → MySQL
US-08,Validación en puerta,Historia,Como personal de seguridad autenticado quiero escanear la credencial QR de una persona para verificar en segundos si está autorizada a ingresar.,Ver docs/sprints/criterios/US-08.feature,5,5,5,4,Sí,Sí,2,token vinculado a identidad y ubicación,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/8,Flutter + Dart → API REST Node.js → MySQL
TD-02,Calidad técnica,Deuda técnica,"Configurar integración continua, análisis estático y pruebas automáticas básicas para detectar fallos antes de fusionar cambios.",Ver docs/sprints/criterios/TD-02.md,4,4,3,16,No,No,2,,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/29,Flutter + Dart → API REST Node.js → MySQL
US-09,Validación en puerta,Historia,Como personal de seguridad quiero ver un resultado claro de acceso permitido o denegado con los datos mínimos de contraste para tomar una decisión rápida.,A refinar antes del sprint previsto,5,4,3,8,Sí,Sí,3,nombre; fotografía; rol; resultado; punto de acceso,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/9,Flutter + Dart → API REST Node.js → MySQL
US-10,Validación en puerta,Historia,"Como personal de seguridad quiero que el sistema rechace credenciales QR vencidas, alteradas, reutilizadas, con OTP/nonce inválido o fuera de la política geográfica.",A refinar antes del sprint previsto,5,5,5,5,Sí,Sí,3,token; ubicación asociada; identificador universitario,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/10,Flutter + Dart → API REST Node.js → MySQL
US-07,Credencial digital,Historia,Como usuario quiero consultar si mi estado actual permite el ingreso y cuánto tiempo de vigencia tiene mi credencial para saber si puedo presentarla.,A refinar antes del sprint previsto,5,4,3,9,Sí,Sí,3,identificador; estado de autorización; vigencia,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/11,Flutter + Dart → API REST Node.js → MySQL
US-02,Autenticación e identidad,Historia,Como usuario autenticado quiero mantener una sesión segura durante un periodo razonable para no iniciar sesión en cada uso de la aplicación.,A refinar antes del sprint previsto,4,4,3,17,Sí,Sí,3,token de sesión; identificador universitario,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/12,Flutter + Dart → API REST Node.js → MySQL
TD-03,Seguridad técnica,Deuda técnica,"Configurar almacenamiento seguro para tokens de sesión y material sensible local, evitando almacenamiento plano y exposición en logs.",Ver docs/sprints/criterios/TD-03.md,4,5,3,14,Sí,Sí,3,token de sesión,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/30,Flutter + Dart → API REST Node.js → MySQL
US-03,Autenticación e identidad,Historia,Como usuario quiero cerrar sesión explícitamente para impedir que otra persona con acceso al teléfono vea o utilice mi identidad digital.,A refinar antes del sprint previsto,4,3,2,25,Sí,Sí,4,token de sesión,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/13,Flutter + Dart → API REST Node.js → MySQL
US-11,Validación en puerta,Historia,Como personal de seguridad quiero disponer de una búsqueda manual controlada por código institucional cuando la cámara no pueda leer el QR.,A refinar antes del sprint previsto,4,4,5,18,Sí,Sí,4,código; nombre; fotografía; estado,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/14,Flutter + Dart → API REST Node.js → MySQL
US-12,Validación en puerta,Historia,Como personal de seguridad quiero ver una causa general de denegación y una acción sugerida para orientar al usuario sin revelar información sensible.,A refinar antes del sprint previsto,4,3,3,26,Sí,Sí,4,estado de autorización; causa general,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/15,Flutter + Dart → API REST Node.js → MySQL
US-13,Incidencias,Historia,Como personal de seguridad quiero registrar una incidencia asociada a una validación para dejar trazabilidad de situaciones excepcionales.,A refinar antes del sprint previsto,4,4,5,19,Sí,Sí,4,identificador; fecha/hora; punto de acceso; motivo; observación,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/16,Flutter + Dart → API REST Node.js → MySQL
US-24,Seguridad y privacidad,Historia,"Como usuario quiero consultar un aviso de privacidad que explique qué datos utiliza la aplicación, incluido el uso de ubicación para emitir la credencial, y para qué se emplean.",A refinar antes del sprint previsto,3,3,2,30,Sí,No,4,categorías de datos tratadas; ubicación,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/28,Flutter + Dart → API REST Node.js → MySQL
US-14,Trazabilidad,Historia,Como usuario quiero consultar mi historial reciente de ingresos y rechazos para reconocer actividad realizada con mi identidad.,A refinar antes del sprint previsto,4,4,5,20,Sí,Sí,5,identificador; fecha/hora; punto de acceso; resultado,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/17,Flutter + Dart → API REST Node.js → MySQL
US-16,Administración de acceso,Historia,Como administrador autorizado quiero buscar una persona por código o correo institucional para revisar su condición de acceso.,A refinar antes del sprint previsto,4,4,5,21,Sí,Sí,5,código; correo institucional; nombre; estado,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/19,Flutter + Dart → API REST Node.js → MySQL
US-17,Administración de acceso,Historia,Como administrador autorizado quiero bloquear o rehabilitar temporalmente una identidad digital para responder a incidencias o cambios de condición.,A refinar antes del sprint previsto,5,4,5,10,Sí,Sí,5,identificador; estado; motivo de bloqueo,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/20,Flutter + Dart → API REST Node.js → MySQL
US-20,Alertas,Historia,"Como usuario quiero recibir una notificación cuando mi acceso sea denegado, indicando una causa general y el canal de soporte correspondiente.",A refinar antes del sprint previsto,4,3,3,27,Sí,Sí,5,identificador; resultado; causa general,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/21,Flutter + Dart → API REST Node.js → MySQL
US-15,Trazabilidad,Historia,Como personal de seguridad quiero consultar las validaciones recientes de mi punto de acceso para revisar incidencias ocurridas durante mi turno.,A refinar antes del sprint previsto,4,3,5,28,Sí,Sí,6,fecha/hora; punto de acceso; resultado; identificador parcial,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/18,Flutter + Dart → API REST Node.js → MySQL
US-18,Administración de acceso,Historia,"Como administrador autorizado quiero configurar reglas simples de acceso por rol, estado y franja horaria para aplicar las políticas institucionales de ingreso.",A refinar antes del sprint previsto,5,4,5,11,Sí,Sí,6,rol; estado; reglas aplicables,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/22,Flutter + Dart → API REST Node.js → MySQL
US-19,Administración de acceso,Historia,Como administrador autorizado quiero gestionar el rol de acceso de una persona para que el sistema aplique las reglas que le corresponden.,A refinar antes del sprint previsto,4,4,5,22,Sí,Sí,6,identificador universitario; rol,Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/23,Flutter + Dart → API REST Node.js → MySQL
US-25,Seguridad y privacidad,Historia,Como personal de seguridad quiero visualizar solo los datos personales estrictamente necesarios durante la validación para reducir la exposición de información.,A refinar antes del sprint previsto,4,4,3,23,Sí,Sí,6,nombre; fotografía; rol; estado de autorización,Jefferson Rosas Chambilla,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/24,Flutter + Dart → API REST Node.js → MySQL
US-21,Alertas,Historia,Como usuario quiero recibir una alerta cuando se detecte un intento sospechoso de validación de mi credencial para poder reaccionar oportunamente.,A refinar antes del sprint previsto,5,4,5,12,Sí,Sí,7,identificador; fecha/hora; punto de acceso; evento sospechoso,Carlos Ayala Ramos,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/25,Flutter + Dart → API REST Node.js → MySQL
US-22,Seguridad y privacidad,Historia,Como usuario quiero desbloquear localmente la app con biometría cuando mi dispositivo lo permita para proteger la visualización de mi credencial.,A refinar antes del sprint previsto,3,4,3,29,Sí,Sí,7,estado biométrico local (sin almacenar plantilla biométrica),Maria del Rosario Delgado,https://github.com/CarlosAyala1989/app-seguridad-entrada-upt/issues/26,Flutter + Dart → API REST Node.js → MySQL
